transaction_id,account_id,transaction_date,transaction_type,amount,merchant_category,location,channel,is_international,balance_after
9342,100001,2025-05-13 11:38:49,debit,3149.43,electronics,Pune,ATM,0,80567.57
8411,100001,2025-05-24 20:29:43,debit,2004.23,travel,Ahmedabad,ATM,0,78563.34
2184,100001,2025-05-27 19:24:17,debit,740.78,travel,Pune,ATM,0,77822.56
10592,100001,2025-06-04 01:28:42,debit,1301.13,travel,Bangalore,Online,0,76521.43
6803,100001,2025-06-10 23:01:33,debit,9759.19,travel,Ahmedabad,Online,0,66762.24
718,100001,2025-06-30 07:36:05,debit,111.03,fuel,Ahmedabad,POS,0,66651.21
11619,100001,2025-06-30 23:07:47,credit,2478.12,groceries,Ahmedabad,Online,1,69129.33
3928,100001,2025-07-24 05:10:00,debit,1929.11,travel,Ahmedabad,ATM,0,67200.22
1278,100001,2025-07-27 12:41:57,credit,230.12,travel,Pune,Online,0,67430.34
7334,100001,2025-08-01 00:03:43,debit,6985.4,gambling,Pune,POS,1,60444.94
1092,100001,2025-08-03 16:26:07,debit,2847.97,fuel,Ahmedabad,ATM,0,57596.97
6989,100001,2025-08-14 18:25:00,credit,9061.09,electronics,Ahmedabad,ATM,0,66658.06
11840,100001,2025-08-23 11:52:23,credit,2963.0,groceries,Ahmedabad,POS,0,69621.06
3595,100001,2025-09-05 16:13:26,debit,5581.34,fuel,Delhi,POS,1,64039.72
4589,100001,2025-09-14 00:45:00,debit,1134.85,groceries,Delhi,POS,0,62904.87
491,100001,2025-09-18 11:15:23,debit,276.33,groceries,Pune,Online,0,62628.54
6634,100001,2025-11-04 16:13:56,debit,149.19,luxury,Delhi,Online,1,62479.35
3376,100001,2025-11-11 23:04:08,credit,2268.52,travel,Pune,POS,0,64747.87
10650,100001,2025-11-13 07:20:59,credit,337.34,groceries,Delhi,Online,0,65085.21
940,100001,2025-11-14 17:25:49,debit,2287.36,luxury,Ahmedabad,Online,0,62797.85
837,100001,2025-11-15 02:47:29,debit,9156.62,groceries,Pune,Online,0,53641.23
8121,100001,2025-11-18 05:59:03,debit,1909.73,electronics,Pune,POS,0,51731.5
5687,100001,2025-11-23 11:14:49,debit,1286.01,fuel,Bangalore,POS,0,50445.49
1135,100001,2025-11-28 18:17:10,debit,148.17,electronics,Delhi,Online,0,50297.32
750,100001,2025-11-30 04:57:08,debit,379.83,groceries,Ahmedabad,ATM,0,49917.49
8881,100001,2025-12-06 04:35:51,debit,1582.73,fuel,Ahmedabad,POS,0,48334.76
7266,100001,2025-12-13 16:22:22,debit,1126.04,travel,Bangalore,ATM,0,47208.72
2275,100001,2026-01-05 11:35:46,credit,2735.16,groceries,Mumbai,POS,0,49943.88
2211,100001,2026-01-07 06:26:03,debit,2011.02,fuel,Ahmedabad,ATM,0,47932.86
6627,100001,2026-01-09 16:30:04,debit,4039.63,crypto,Bangalore,ATM,0,43893.23
7536,100001,2026-01-18 14:16:15,credit,1690.76,gambling,Mumbai,POS,0,45583.99
7206,100001,2026-01-20 03:13:39,credit,649.17,luxury,Bangalore,POS,0,46233.16
2141,100002,2025-05-09 23:09:48,debit,2846.87,groceries,Pune,POS,0,68787.13
8609,100002,2025-05-16 10:24:17,debit,7060.4,gambling,Ahmedabad,ATM,1,61726.73
10367,100002,2025-06-24 19:53:45,debit,337.89,electronics,Delhi,ATM,0,61388.84
7473,100002,2025-06-27 07:51:45,debit,1289.57,electronics,Delhi,POS,0,60099.27
1417,100002,2025-07-11 07:38:33,debit,1671.6,fuel,Mumbai,Online,0,58427.67
4741,100002,2025-07-13 05:10:14,credit,943.54,gambling,Bangalore,POS,1,59371.21
8872,100002,2025-07-22 18:06:47,debit,1430.68,fuel,Mumbai,POS,0,57940.53
4656,100002,2025-08-01 05:18:14,credit,1251.78,travel,Bangalore,Online,0,59192.31
9321,100002,2025-08-06 12:07:39,debit,3611.73,fuel,Ahmedabad,Online,0,55580.58
3653,100002,2025-08-12 05:48:01,credit,3555.99,electronics,Delhi,Online,1,59136.57
11322,100002,2025-08-12 21:01:24,debit,1970.03,travel,Ahmedabad,POS,0,57166.54
11413,100002,2025-08-13 14:00:03,debit,3343.19,fuel,Ahmedabad,ATM,1,53823.35
3190,100002,2025-09-20 19:08:17,debit,6568.16,groceries,Ahmedabad,ATM,0,47255.19
2384,100002,2025-09-24 14:06:33,credit,9167.68,travel,Mumbai,Online,1,56422.87
5879,100002,2025-10-20 02:11:10,credit,341.47,electronics,Delhi,Online,0,56764.34
7839,100002,2025-10-26 23:07:02,debit,2351.19,fuel,Mumbai,POS,0,54413.15
5213,100002,2025-11-02 16:44:00,debit,2512.61,fuel,Bangalore,POS,0,51900.54
10216,100002,2025-11-04 16:11:25,debit,7262.98,groceries,Pune,Online,0,44637.56
7705,100002,2025-11-08 11:51:23,debit,509.58,electronics,Mumbai,ATM,0,44127.98
5655,100002,2025-11-15 22:00:38,debit,3062.24,electronics,Delhi,Online,0,41065.74
8932,100002,2025-12-01 14:19:37,credit,3020.28,crypto,Bangalore,Online,0,44086.02
8812,100002,2025-12-06 21:29:08,debit,1971.43,fuel,Ahmedabad,Online,0,42114.59
70,100002,2025-12-06 22:45:30,debit,360.03,electronics,Bangalore,Online,0,41754.56
8941,100002,2025-12-09 12:09:18,debit,773.14,travel,Bangalore,Online,0,40981.42
227,100002,2025-12-15 09:52:10,credit,1347.85,groceries,Delhi,Online,0,42329.27
2003,100002,2025-12-25 05:14:20,credit,1464.84,travel,Pune,Online,0,43794.11
11520,100002,2025-12-31 19:41:34,credit,9830.77,electronics,Pune,ATM,1,53624.88
288,100002,2026-01-12 01:49:50,debit,2147.0,groceries,Ahmedabad,Online,0,51477.88
3464,100002,2026-01-24 07:14:35,credit,509.26,groceries,Bangalore,POS,0,51987.14
9073,100003,2025-05-05 06:59:02,debit,2392.33,fuel,Delhi,ATM,0,36878.67
10768,100003,2025-07-11 05:13:39,debit,4763.83,groceries,Mumbai,Online,0,32114.84
5315,100003,2025-07-26 22:41:43,debit,6103.58,groceries,Bangalore,Online,0,26011.26
4604,100003,2025-08-01 17:42:36,debit,2712.78,groceries,Ahmedabad,POS,0,23298.48
2996,100003,2025-08-15 06:37:11,debit,1213.74,travel,Pune,POS,0,22084.74
1664,100003,2025-09-19 08:16:45,debit,1128.42,groceries,Mumbai,Online,0,20956.32
8649,100003,2025-10-06 05:00:29,debit,3232.61,fuel,Bangalore,Online,0,17723.71
2547,100003,2025-10-18 10:27:20,debit,1024.37,gambling,Mumbai,ATM,0,16699.34
10846,100003,2025-10-22 18:58:03,debit,50.0,groceries,Ahmedabad,POS,0,16649.34
8448,100003,2025-10-23 14:26:10,credit,674.27,electronics,Mumbai,Online,0,17323.61
4307,100003,2025-10-30 07:37:49,credit,6163.36,gambling,Pune,ATM,0,23486.97
2935,100003,2025-11-05 10:02:03,debit,3424.17,electronics,Mumbai,Online,0,20062.8
4135,100003,2025-11-15 19:36:05,debit,4954.59,groceries,Bangalore,Online,0,15108.21
1732,100003,2025-11-29 06:40:53,debit,379.2,fuel,Delhi,Online,0,14729.01
4522,100003,2025-12-11 22:02:42,debit,1465.94,groceries,Mumbai,Online,0,13263.07
2331,100003,2025-12-14 03:19:08,credit,3191.91,electronics,Delhi,Online,0,16454.98
5132,100003,2025-12-15 15:18:15,debit,3172.2,groceries,Bangalore,Online,0,13282.78
2051,100003,2025-12-26 23:23:06,credit,1318.75,electronics,Pune,ATM,0,14601.53
989,100003,2026-01-05 04:23:26,debit,1193.45,fuel,Mumbai,POS,1,13408.08
6075,100003,2026-01-05 20:14:49,credit,77.54,groceries,Mumbai,Online,0,13485.62
2914,100003,2026-01-07 19:07:34,debit,2017.49,electronics,Delhi,POS,1,11468.13
7528,100003,2026-01-13 10:56:53,credit,3617.16,electronics,Delhi,Online,0,15085.29
4921,100003,2026-01-21 23:59:11,debit,988.33,groceries,Ahmedabad,Online,0,14096.96
7226,100003,2026-01-24 01:47:29,debit,344.18,groceries,Pune,Online,0,13752.78
9035,100003,2026-01-24 11:27:51,debit,3591.37,groceries,Delhi,ATM,0,10161.41
9399,100004,2025-05-08 10:18:07,debit,112.58,fuel,Delhi,Online,0,29409.42
8462,100004,2025-05-14 07:14:15,debit,791.94,travel,Ahmedabad,POS,0,28617.48
11339,100004,2025-05-15 21:33:45,debit,238.84,travel,Delhi,Online,0,28378.64
